node,year,capacity_limit
BE,2025,4.098
CH,2025,3.075
CZ,2025,4.128
ES,2025,7.1589
FI,2025,4.394
FR,2025,52.148
HU,2025,2.0
NL,2025,0.485
RO,2025,1.413
SE,2025,3.32
SI,2025,0.696
SK,2025,1.411
UA,2025,13.507
UK,2025,9.53
AL,2025,0.0
AT,2025,0.0
BA,2025,0.0
BG,2025,0.0
CY,2025,0.0
DE,2025,0.0
DK,2025,0.0
EE,2025,0.0
EL,2025,0.0
HR,2025,0.0
IE,2025,0.0
IT,2025,0.0
LT,2025,0.0
LU,2025,0.0
LV,2025,0.0
ME,2025,0.0
MK,2025,0.0
MT,2025,0.0
NO,2025,0.0
PL,2025,0.0
PT,2025,0.0
RS,2025,0.0
AL,2030,0.1
AT,2030,0.1
BA,2030,0.1
BE,2030,2.7001
BG,2030,2.6
CY,2030,0.1
CZ,2030,5.2613574
DE,2030,0.1
DK,2030,0.1
EE,2030,0.1
EL,2030,0.1
ES,2030,6.630468
FI,2030,5.7122
FR,2030,80.28927660000001
HR,2030,0.1
HU,2030,4.0261000000000005
IE,2030,0.1
IT,2030,0.1
LT,2030,0.1
LU,2030,0.1
LV,2030,0.1
ME,2030,0.1
MK,2030,0.1
MT,2030,0.1
NL,2030,0.6318
NO,2030,0.1
PL,2030,0.1
PT,2030,0.1
RO,2030,2.2607013
RS,2030,0.1
SE,2030,8.9479
SI,2030,0.9047999999999999
SK,2030,3.6590268000000004
UK,2030,7.1630013
