node,year,capacity_limit
AL,2030,1.0
AT,2030,1.0
BA,2030,1.0
BE,2030,2.7001
BG,2030,2.6
CY,2030,1.0
CZ,2030,5.2613574
DE,2030,1.0
DK,2030,1.0
EE,2030,1.0
EL,2030,1.0
ES,2030,6.630468
FI,2030,5.7122
FR,2030,80.28927660000001
HR,2030,1.0
HU,2030,4.0261000000000005
IE,2030,1.0
IT,2030,1.0
LT,2030,1.0
LU,2030,1.0
LV,2030,1.0
ME,2030,1.0
MK,2030,1.0
MT,2030,1.0
NL,2030,0.6318
NO,2030,1.0
PL,2030,1.0
PT,2030,1.0
RO,2030,2.2607013
RS,2030,1.0
SE,2030,8.9479
SI,2030,0.9047999999999999
SK,2030,3.6590268000000004
UK,2030,7.1630013
