node,year,capacity_limit
AL,2030,0.78
AT,2030,15.6003341
BA,2030,0.5912400000000001
BE,2030,17.693
BG,2030,4.4957081
CY,2030,1.1726
CZ,2030,14.827410000000002
DE,2030,279.50260000000003
DK,2030,23.067733
EE,2030,1.508
EL,2030,18.2000013
ES,2030,100.5525651
FI,2030,13.903743100000002
FR,2030,55.40884700000001
HR,2030,0.9362339999999999
HU,2030,12.892998300000002
IE,2030,10.3831
IT,2030,98.12470590000002
LT,2030,6.50039
LU,2030,1.6068
LV,2030,0.280839
ME,2030,0.04095
MK,2030,0.8190000000000001
MT,2030,0.36605270000000006
NL,2030,77.11221440000001
NO,2030,5.2
PL,2030,28.162433
PT,2030,21.2303
RO,2030,10.790000000000001
RS,2030,5.921305
SE,2030,9.4922971
SI,2030,3.575
SK,2030,1.9500000000000002
UK,2030,45.5551486
